channel,conv_prob_without,lift,weight,attributed_conversions,attributed_value
alpha,0.2238451355968638,5.551115123125783e-17,0.0,0.0,0.0
beta,0.2238451355968638,5.551115123125783e-17,0.0,0.0,0.0
delta,0.22384513559686375,1.1102230246251565e-16,0.0,0.0,0.0
epsilon,0.22384513559686375,1.1102230246251565e-16,0.0,0.0,0.0
eta,0.22384513559686384,2.7755575615628914e-17,0.0,0.0,0.0
gamma,0.22384513559686378,8.326672684688674e-17,0.0,0.0,0.0
iota,0.22384513559686375,1.1102230246251565e-16,0.0,0.0,0.0
kappa,0.22384513559686378,8.326672684688674e-17,0.0,0.0,0.0
lambda,0.2238451355968638,5.551115123125783e-17,0.0,0.0,0.0
mi,0.22384513559686378,8.326672684688674e-17,0.0,0.0,0.0
theta,0.22384513559686384,2.7755575615628914e-17,0.0,0.0,0.0
zeta,0.22384513559686384,2.7755575615628914e-17,0.0,0.0,0.0
